Sentence	entity_1	entity_2	json	split
The chemotaxonomic characteristics [ predominant isoprenoid quinone menaquinone 7 ( MK - 7); major fatty acids iso - C ( 15: 0) and iso - C ( 17: 0)] also supported the affiliation of strains T - 11 ( T) and E - 112 ( T) to the genus Anoxybacillus.	T - 11,192,198,Organism/Species	E - 112,208,215,Organism/Species	"[{""token"": ""T - 11"", ""start_span"": 192, ""end_span"": 198, ""type"": ""Organism/Species""}, {""token"": ""E - 112"", ""start_span"": 208, ""end_span"": 215, ""type"": ""Organism/Species""}]"	train
The results of DNA - DNA hybridization and physiological and biochemical tests allowed genotypic and phenotypic differentiation of strains T - 11 ( T) and E - 112 ( T) from Anoxybacillus species with validly published names.	T - 11,139,145,Organism/Species	E - 112,155,162,Organism/Species	"[{""token"": ""T - 11"", ""start_span"": 139, ""end_span"": 145, ""type"": ""Organism/Species""}, {""token"": ""E - 112"", ""start_span"": 155, ""end_span"": 162, ""type"": ""Organism/Species""}]"	train
( type strain T - 11 ( T) = CCTCC AB209237 ( T) = KCTC 13721 ( T)) and Anoxybacillus eryuanensis sp. nov.	T - 11,14,20,Organism/Species	Anoxybacillus eryuanensis,71,96,Organism/Species	"[{""token"": ""T - 11"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Organism/Species""}, {""token"": ""Anoxybacillus eryuanensis"", ""start_span"": 71, ""end_span"": 96, ""type"": ""Organism/Species""}]"	train
Neisseria wadsworthii sp. nov. and Neisseria shayeganii sp. nov., isolated from clinical specimens.	Neisseria wadsworthii,0,21,Organism/Species	Neisseria shayeganii,35,55,Organism/Species	"[{""token"": ""Neisseria wadsworthii"", ""start_span"": 0, ""end_span"": 21, ""type"": ""Organism/Species""}, {""token"": ""Neisseria shayeganii"", ""start_span"": 35, ""end_span"": 55, ""type"": ""Organism/Species""}]"	train
( type strain 9715 ( T) = DSM 22247 ( T) = CIP 109934 ( T)) and Neisseria shayeganii sp. nov.	9715,14,18,Organism/Species	Neisseria shayeganii,64,84,Organism/Species	"[{""token"": ""9715"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Organism/Species""}, {""token"": ""Neisseria shayeganii"", ""start_span"": 64, ""end_span"": 84, ""type"": ""Organism/Species""}]"	train
The strain produced greyish white aerial mycelia, lactic acid and a large quantity of double diamond - shaped crystals on potato dextrose agar and yeast extract - malt extract agar.	potato,122,128,Organism/Species	yeast,147,152,Organism/Species	"[{""token"": ""potato"", ""start_span"": 122, ""end_span"": 128, ""type"": ""Organism/Species""}, {""token"": ""yeast"", ""start_span"": 147, ""end_span"": 152, ""type"": ""Organism/Species""}]"	train
16S rRNA gene sequence analysis revealed that strain GIMN4. 001 ( T) was related most closely to Streptomyces morookaense ATCC 19166 ( T) ( 98. 9% similarity) and Streptomyces lavenduligriseus ATCC 13306 ( T) ( 98. 7%).	Streptomyces morookaense,97,121,Organism/Species	Streptomyces lavenduligriseus,163,192,Organism/Species	"[{""token"": ""Streptomyces morookaense"", ""start_span"": 97, ""end_span"": 121, ""type"": ""Organism/Species""}, {""token"": ""Streptomyces lavenduligriseus"", ""start_span"": 163, ""end_span"": 192, ""type"": ""Organism/Species""}]"	train
For example, aflatoxin biosynthesis in Aspergillus parasiticus has been studied intensively because this mycotoxin is highly toxic, mutagenic, and carcinogenic in humans and animals.	Aspergillus parasiticus,39,62,Organism/Species	humans,163,169,Organism/Species	"[{""token"": ""Aspergillus parasiticus"", ""start_span"": 39, ""end_span"": 62, ""type"": ""Organism/Species""}, {""token"": ""humans"", ""start_span"": 163, ""end_span"": 169, ""type"": ""Organism/Species""}]"	train
Sensitivity to phosphonoacetate and dideoxyTTP was examined in POPs ( TetPOP and CmPOP) or POP - containing organelles ( chloroplasts of Arabidopsis) and other polymerases ( DNA polymerase I and mitochondria of rat liver, which contain Polgamma), and the results suggest that high sensitivity to phosphonoacetate is unique to POPs in Family - A DNA polymerases.	Arabidopsis,137,148,Organism/Species	rat,211,214,Organism/Species	"[{""token"": ""Arabidopsis"", ""start_span"": 137, ""end_span"": 148, ""type"": ""Organism/Species""}, {""token"": ""rat"", ""start_span"": 211, ""end_span"": 214, ""type"": ""Organism/Species""}]"	train
The PRP8 intein, the most widespread among fungi, occurs in important pathogens such as Histoplasma capsulatum and Paracoccidioides brasiliensis, from the Ajellomycetaceae family.	Histoplasma capsulatum,88,110,Organism/Species	Paracoccidioides brasiliensis,115,144,Organism/Species	"[{""token"": ""Histoplasma capsulatum"", ""start_span"": 88, ""end_span"": 110, ""type"": ""Organism/Species""}, {""token"": ""Paracoccidioides brasiliensis"", ""start_span"": 115, ""end_span"": 144, ""type"": ""Organism/Species""}]"	train
Herein, we describe the bi - functional PRP8 intein in two other Ajellomycetacean pathogens, Blastomyces dermatitidis and Emmonsia parva.	Blastomyces dermatitidis,93,117,Organism/Species	Emmonsia parva,122,136,Organism/Species	"[{""token"": ""Blastomyces dermatitidis"", ""start_span"": 93, ""end_span"": 117, ""type"": ""Organism/Species""}, {""token"": ""Emmonsia parva"", ""start_span"": 122, ""end_span"": 136, ""type"": ""Organism/Species""}]"	train
We used light and electron microscopy to describe the isolates as new genera and species Pirum gemmata and Abeoforma whisleri.	Pirum gemmata,89,102,Organism/Species	Abeoforma whisleri,107,125,Organism/Species	"[{""token"": ""Pirum gemmata"", ""start_span"": 89, ""end_span"": 102, ""type"": ""Organism/Species""}, {""token"": ""Abeoforma whisleri"", ""start_span"": 107, ""end_span"": 125, ""type"": ""Organism/Species""}]"	train
The genes involved in the biosynthesis of biotin were identified in the hyphal fungus Aspergillus nidulans through homology searches and complementation of Escherichia coli biotin - auxotrophic mutants.	Aspergillus nidulans,86,106,Organism/Species	Escherichia coli,156,172,Organism/Species	"[{""token"": ""Aspergillus nidulans"", ""start_span"": 86, ""end_span"": 106, ""type"": ""Organism/Species""}, {""token"": ""Escherichia coli"", ""start_span"": 156, ""end_span"": 172, ""type"": ""Organism/Species""}]"	train
Whereas the 7, 8 - diaminopelargonic acid synthase and dethiobiotin synthetase are encoded by distinct genes in bacteria and the yeast Saccharomyces cerevisiae, both activities are performed in A. nidulans by a single enzyme, encoded by the bifunctional gene bioDA.	yeast,129,134,Organism/Species	Saccharomyces cerevisiae,135,159,Organism/Species	"[{""token"": ""yeast"", ""start_span"": 129, ""end_span"": 134, ""type"": ""Organism/Species""}, {""token"": ""Saccharomyces cerevisiae"", ""start_span"": 135, ""end_span"": 159, ""type"": ""Organism/Species""}]"	train
A high temperature is needed for H99 SNF1 to function in stress response and carbon source preference, but not for the JEC21 SNF1.	H99,33,36,Organism/Species	JEC21,119,124,Organism/Species	"[{""token"": ""H99"", ""start_span"": 33, ""end_span"": 36, ""type"": ""Organism/Species""}, {""token"": ""JEC21"", ""start_span"": 119, ""end_span"": 124, ""type"": ""Organism/Species""}]"	train
Parallel evolution of cytochrome b mediated bifenazate resistance in the citrus red mite Panonychus citri.	citrus red mite,73,88,Organism/Species	Panonychus citri,89,105,Organism/Species	"[{""token"": ""citrus red mite"", ""start_span"": 73, ""end_span"": 88, ""type"": ""Organism/Species""}, {""token"": ""Panonychus citri"", ""start_span"": 89, ""end_span"": 105, ""type"": ""Organism/Species""}]"	train
Characterization of the developmental regulator FlbE in Aspergillus fumigatus and Aspergillus nidulans.	Aspergillus fumigatus,56,77,Organism/Species	Aspergillus nidulans,82,102,Organism/Species	"[{""token"": ""Aspergillus fumigatus"", ""start_span"": 56, ""end_span"": 77, ""type"": ""Organism/Species""}, {""token"": ""Aspergillus nidulans"", ""start_span"": 82, ""end_span"": 102, ""type"": ""Organism/Species""}]"	train
In this study, we characterize one of such activators called flbE in Aspergillus fumigatus and Aspergillus nidulans.	Aspergillus fumigatus,69,90,Organism/Species	Aspergillus nidulans,95,115,Organism/Species	"[{""token"": ""Aspergillus fumigatus"", ""start_span"": 69, ""end_span"": 90, ""type"": ""Organism/Species""}, {""token"": ""Aspergillus nidulans"", ""start_span"": 95, ""end_span"": 115, ""type"": ""Organism/Species""}]"	train
Transcription factors BmPOUM2 and BmBetaFTZ - F1 are involved in regulation of the expression of the wing cuticle protein gene BmWCP4 in the silkworm, Bombyx mori.	silkworm,141,149,Organism/Species	Bombyx mori,151,162,Organism/Species	"[{""token"": ""silkworm"", ""start_span"": 141, ""end_span"": 149, ""type"": ""Organism/Species""}, {""token"": ""Bombyx mori"", ""start_span"": 151, ""end_span"": 162, ""type"": ""Organism/Species""}]"	train
* The co - ordination between floret initiation and meristem expansion, and their relationships with carbon availability, were studied and quantified in sunflower ( Helianthus annuus) plants subjected to light or water shortages.	sunflower,153,162,Organism/Species	Helianthus annuus,165,182,Organism/Species	"[{""token"": ""sunflower"", ""start_span"": 153, ""end_span"": 162, ""type"": ""Organism/Species""}, {""token"": ""Helianthus annuus"", ""start_span"": 165, ""end_span"": 182, ""type"": ""Organism/Species""}]"	train
The differences in individual dietary specialization between tiger sharks and bull sharks results in different functional roles in coupling or compartmentalizing distinct food webs.	tiger sharks,61,73,Organism/Species	bull sharks,78,89,Organism/Species	"[{""token"": ""tiger sharks"", ""start_span"": 61, ""end_span"": 73, ""type"": ""Organism/Species""}, {""token"": ""bull sharks"", ""start_span"": 78, ""end_span"": 89, ""type"": ""Organism/Species""}]"	train
* To resolve this, we investigated the mechanism by which the root herbivore Diabrotica virgifera induces resistance against lepidopteran herbivores in the leaves of Zea mays.	Diabrotica virgifera,77,97,Organism/Species	Zea mays,166,174,Organism/Species	"[{""token"": ""Diabrotica virgifera"", ""start_span"": 77, ""end_span"": 97, ""type"": ""Organism/Species""}, {""token"": ""Zea mays"", ""start_span"": 166, ""end_span"": 174, ""type"": ""Organism/Species""}]"	train
* Diabrotica virgifera infested plants suffered less aboveground herbivory in the field and showed reduced growth of Spodoptera littoralis caterpillars in the laboratory.	Diabrotica virgifera,2,22,Organism/Species	Spodoptera littoralis,117,138,Organism/Species	"[{""token"": ""Diabrotica virgifera"", ""start_span"": 2, ""end_span"": 22, ""type"": ""Organism/Species""}, {""token"": ""Spodoptera littoralis"", ""start_span"": 117, ""end_span"": 138, ""type"": ""Organism/Species""}]"	train
In this study, MCDV was purified, and three structural proteins of MCDV were separated by SDS - PAGE.	MCDV,15,19,Organism/Species	MCDV,67,71,Organism/Species	"[{""token"": ""MCDV"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Organism/Species""}, {""token"": ""MCDV"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Organism/Species""}]"	train
The identification of the two structural proteins of MCDV is useful for studying their functions, as well as the mechanism of infection and the pathogenesis of MCDV.	MCDV,53,57,Organism/Species	MCDV,160,164,Organism/Species	"[{""token"": ""MCDV"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Organism/Species""}, {""token"": ""MCDV"", ""start_span"": 160, ""end_span"": 164, ""type"": ""Organism/Species""}]"	train
* Pseudomonas syringae pv. tomato DC3000 ( Pst DC3000) causes an economically important bacterial speck disease on tomato and produces symptoms with necrotic lesions surrounded by chlorosis.	Pst DC3000,43,53,Organism/Species	tomato,115,121,Organism/Species	"[{""token"": ""Pst DC3000"", ""start_span"": 43, ""end_span"": 53, ""type"": ""Organism/Species""}, {""token"": ""tomato"", ""start_span"": 115, ""end_span"": 121, ""type"": ""Organism/Species""}]"	train
We demonstrate differential expression of digestive trypsin and chymotrypsins in larvae feeding on a primary host, Persea bombycina Kosterm., in comparison to larvae feeding on Litsea monopetala Roxb. using in vitro proteolytic assays, zymogram analyses with proteinase inhibitors, restriction digestion of RNA - PCR amplicons and quantitative real - time PCR ( RT - PCR).	Persea bombycina,115,131,Organism/Species	Litsea monopetala,177,194,Organism/Species	"[{""token"": ""Persea bombycina"", ""start_span"": 115, ""end_span"": 131, ""type"": ""Organism/Species""}, {""token"": ""Litsea monopetala"", ""start_span"": 177, ""end_span"": 194, ""type"": ""Organism/Species""}]"	train
Detection and quantitation of infectious human adenoviruses and JC polyomaviruses in water by immunofluorescence assay.	human adenoviruses,41,59,Organism/Species	JC polyomaviruses,64,81,Organism/Species	"[{""token"": ""human adenoviruses"", ""start_span"": 41, ""end_span"": 59, ""type"": ""Organism/Species""}, {""token"": ""JC polyomaviruses"", ""start_span"": 64, ""end_span"": 81, ""type"": ""Organism/Species""}]"	train
An indirect immunofluorescence assay has been developed to quantify infectious human adenoviruses types 2 and 41 and JC polyomaviruses strain Mad - 4 in water samples.	human adenoviruses,79,97,Organism/Species	JC polyomaviruses,117,134,Organism/Species	"[{""token"": ""human adenoviruses"", ""start_span"": 79, ""end_span"": 97, ""type"": ""Organism/Species""}, {""token"": ""JC polyomaviruses"", ""start_span"": 117, ""end_span"": 134, ""type"": ""Organism/Species""}]"	train
Duck astrovirus ( DAstV) is an important pathogen causing duck viral hepatitis ( DVH), a highly contagious and fatal disease in young ducklings.	Duck astrovirus,0,15,Organism/Species	DAstV,18,23,Organism/Species	"[{""token"": ""Duck astrovirus"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Organism/Species""}, {""token"": ""DAstV"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Organism/Species""}]"	train
Interestingly, DAstV - specific antibodies were also detected in 12 ( 28. 6%) of 42 sera samples from a different flock without DVH, indicating a wide distribution of subclinical infections caused by DAstV.	DAstV,15,20,Organism/Species	DAstV,200,205,Organism/Species	"[{""token"": ""DAstV"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Organism/Species""}, {""token"": ""DAstV"", ""start_span"": 200, ""end_span"": 205, ""type"": ""Organism/Species""}]"	train
Climate effects on population fluctuations of the white - throated dipper Cinclus cinclus.	white - throated dipper,50,73,Organism/Species	Cinclus cinclus,74,89,Organism/Species	"[{""token"": ""white - throated dipper"", ""start_span"": 50, ""end_span"": 73, ""type"": ""Organism/Species""}, {""token"": ""Cinclus cinclus"", ""start_span"": 74, ""end_span"": 89, ""type"": ""Organism/Species""}]"	train
We have studied fluctuations in a population of the white - throated dipper Cinclus cinclus during 31 years ( 1978 - 2008) in a river system in southern Norway in relation to both large - scale and local weather conditions occurring during the non - breeding season.	white - throated dipper,52,75,Organism/Species	Cinclus cinclus,76,91,Organism/Species	"[{""token"": ""white - throated dipper"", ""start_span"": 52, ""end_span"": 75, ""type"": ""Organism/Species""}, {""token"": ""Cinclus cinclus"", ""start_span"": 76, ""end_span"": 91, ""type"": ""Organism/Species""}]"	train
Interference from long - tailed finches constrains reproduction in the endangered Gouldian finch.	long - tailed finches,18,39,Organism/Species	Gouldian finch,82,96,Organism/Species	"[{""token"": ""long - tailed finches"", ""start_span"": 18, ""end_span"": 39, ""type"": ""Organism/Species""}, {""token"": ""Gouldian finch"", ""start_span"": 82, ""end_span"": 96, ""type"": ""Organism/Species""}]"	train
Predation is associated with variation in colour pattern, but not body shape or colour reflectance, in a rainbowfish ( Melanotaenia australis).	rainbowfish,105,116,Organism/Species	Melanotaenia australis,119,141,Organism/Species	"[{""token"": ""rainbowfish"", ""start_span"": 105, ""end_span"": 116, ""type"": ""Organism/Species""}, {""token"": ""Melanotaenia australis"", ""start_span"": 119, ""end_span"": 141, ""type"": ""Organism/Species""}]"	train
The western rainbowfish Melanotaenia australis exhibits marked sexual dimorphism - females are plain with a slender body, while males have striking coloration and are deeper in the body.	western rainbowfish,4,23,Organism/Species	Melanotaenia australis,24,46,Organism/Species	"[{""token"": ""western rainbowfish"", ""start_span"": 4, ""end_span"": 23, ""type"": ""Organism/Species""}, {""token"": ""Melanotaenia australis"", ""start_span"": 24, ""end_span"": 46, ""type"": ""Organism/Species""}]"	train
Factors required for the high CO2 specificity of the anaerobically induced maize GapC4 promoter in transgenic tobacco.	maize,75,80,Organism/Species	tobacco,110,117,Organism/Species	"[{""token"": ""maize"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Organism/Species""}, {""token"": ""tobacco"", ""start_span"": 110, ""end_span"": 117, ""type"": ""Organism/Species""}]"	train
Symbiotic Chlorella vulgaris of the ciliate Paramecium bursaria plays an important role in maintaining perialgal vacuole membrane functions.	Chlorella vulgaris,10,28,Organism/Species	Paramecium bursaria,44,63,Organism/Species	"[{""token"": ""Chlorella vulgaris"", ""start_span"": 10, ""end_span"": 28, ""type"": ""Organism/Species""}, {""token"": ""Paramecium bursaria"", ""start_span"": 44, ""end_span"": 63, ""type"": ""Organism/Species""}]"	train
Fusarium verticillioides is one of the most important fungal pathogens to cause destructive diseases of maize worldwide.	Fusarium verticillioides,0,24,Organism/Species	maize,104,109,Organism/Species	"[{""token"": ""Fusarium verticillioides"", ""start_span"": 0, ""end_span"": 24, ""type"": ""Organism/Species""}, {""token"": ""maize"", ""start_span"": 104, ""end_span"": 109, ""type"": ""Organism/Species""}]"	train
Based on the complete genome sequence of Glossinia pallidipes ( GpSGHV) and Musca domestica ( MdSGHV) salivary gland hypertrophy viruses, a PCR based methodology was developed to detect the viruses in these species.	Glossinia pallidipes,41,61,Organism/Species	Musca domestica,76,91,Organism/Species	"[{""token"": ""Glossinia pallidipes"", ""start_span"": 41, ""end_span"": 61, ""type"": ""Organism/Species""}, {""token"": ""Musca domestica"", ""start_span"": 76, ""end_span"": 91, ""type"": ""Organism/Species""}]"	train
Simultaneous virus - specific detection of the two cassava brown streak - associated viruses by RT - PCR reveals wide distribution in East Africa, mixed infections, and infections in Manihot glaziovii.	cassava,51,58,Organism/Species	Manihot glaziovii,183,200,Organism/Species	"[{""token"": ""cassava"", ""start_span"": 51, ""end_span"": 58, ""type"": ""Organism/Species""}, {""token"": ""Manihot glaziovii"", ""start_span"": 183, ""end_span"": 200, ""type"": ""Organism/Species""}]"	train
Results showed that CBSV and UCBSV are distributed widely in the highlands ( > 1000 m above the sea level) of the Lake Victoria zone in Uganda and Tanzania and also in the Indian Ocean costal lowlands of Tanzania.	CBSV,20,24,Organism/Species	UCBSV,29,34,Organism/Species	"[{""token"": ""CBSV"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Organism/Species""}, {""token"": ""UCBSV"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Organism/Species""}]"	train
The serum neutralizing antibody profile showed a decrease from the age of 4 to 13 weeks, and seroconversion after 13 weeks in pigs from a commercial pig farm.	pigs,126,130,Organism/Species	pig,149,152,Organism/Species	"[{""token"": ""pigs"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Organism/Species""}, {""token"": ""pig"", ""start_span"": 149, ""end_span"": 152, ""type"": ""Organism/Species""}]"	train
The closest relatives are Stachyamoeba sp. ATCC50324, a strain isolated from an ocean sample, and Vrihiamoeba italica, a recent isolate from a rice field.	Vrihiamoeba italica,98,117,Organism/Species	rice,143,147,Organism/Species	"[{""token"": ""Vrihiamoeba italica"", ""start_span"": 98, ""end_span"": 117, ""type"": ""Organism/Species""}, {""token"": ""rice"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Organism/Species""}]"	train
Odontoglossum ringspot virus ( ORSV) infects numerous commercially important orchids and causes significant losses worldwide.	Odontoglossum ringspot virus,0,28,Organism/Species	ORSV,31,35,Organism/Species	"[{""token"": ""Odontoglossum ringspot virus"", ""start_span"": 0, ""end_span"": 28, ""type"": ""Organism/Species""}, {""token"": ""ORSV"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Organism/Species""}]"	train
Due to the high variability of sequences for some members of this family, different melting temperatures were also observed between different isolates of the species CYDV - RPV and TuYV.	CYDV - RPV,166,176,Organism/Species	TuYV,181,185,Organism/Species	"[{""token"": ""CYDV - RPV"", ""start_span"": 166, ""end_span"": 176, ""type"": ""Organism/Species""}, {""token"": ""TuYV"", ""start_span"": 181, ""end_span"": 185, ""type"": ""Organism/Species""}]"	train
For a timely diagnosis of TBE virus infections and epidemiological studies, a TBE virus - specific reverse transcription quantitative real - time PCR ( RT - qPCR) followed by pyrosequencing was developed.	TBE virus,26,35,Organism/Species	TBE virus,78,87,Organism/Species	"[{""token"": ""TBE virus"", ""start_span"": 26, ""end_span"": 35, ""type"": ""Organism/Species""}, {""token"": ""TBE virus"", ""start_span"": 78, ""end_span"": 87, ""type"": ""Organism/Species""}]"	train
The assay is based on one degenerated primer pair detecting all three human - pathogenic TBE virus subtypes with a detection limit of 10 copies.	human,70,75,Organism/Species	TBE virus,89,98,Organism/Species	"[{""token"": ""human"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Organism/Species""}, {""token"": ""TBE virus"", ""start_span"": 89, ""end_span"": 98, ""type"": ""Organism/Species""}]"	train
In summary, the method is sensitive, highly specific and easy - to - handle tool for the detection and differentiation of TBE virus in the early phase of illness or in TBE host animal species and ticks.	TBE virus,122,131,Organism/Species	TBE,168,171,Organism/Species	"[{""token"": ""TBE virus"", ""start_span"": 122, ""end_span"": 131, ""type"": ""Organism/Species""}, {""token"": ""TBE"", ""start_span"": 168, ""end_span"": 171, ""type"": ""Organism/Species""}]"	train
Roles of vaccinia virus genes E3L and K3L and host genes PKR and RNase L during intratracheal infection of C57BL / 6 mice.	vaccinia virus,9,23,Organism/Species	mice,117,121,Organism/Species	"[{""token"": ""vaccinia virus"", ""start_span"": 9, ""end_span"": 23, ""type"": ""Organism/Species""}, {""token"": ""mice"", ""start_span"": 117, ""end_span"": 121, ""type"": ""Organism/Species""}]"	train
In poxvirus infections, the interactions between the vaccinia virus ( VV) genes E3L and K3L, which target RNase L and PKR, respectively, serve to prevent the induction of the dsRNA - dependent induced interferon response in cell culture.	vaccinia virus,53,67,Organism/Species	VV,70,72,Organism/Species	"[{""token"": ""vaccinia virus"", ""start_span"": 53, ""end_span"": 67, ""type"": ""Organism/Species""}, {""token"": ""VV"", ""start_span"": 70, ""end_span"": 72, ""type"": ""Organism/Species""}]"	train
RNase L ( - / -) mice showed no disease, whereas 20% of the PKR ( - / -) mice succumbed at a dose of 10 ( 8) PFU.	mice,17,21,Organism/Species	mice,73,77,Organism/Species	"[{""token"": ""mice"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Organism/Species""}, {""token"": ""mice"", ""start_span"": 73, ""end_span"": 77, ""type"": ""Organism/Species""}]"	train
These effects were assessed by comparing the early impacts of three Azospirillum inoculant strains on secondary metabolite profiles of two different maize ( Zea mays) cultivars.	maize,149,154,Organism/Species	Zea mays,157,165,Organism/Species	"[{""token"": ""maize"", ""start_span"": 149, ""end_span"": 154, ""type"": ""Organism/Species""}, {""token"": ""Zea mays"", ""start_span"": 157, ""end_span"": 165, ""type"": ""Organism/Species""}]"	train
Functional characterization of pheromone receptors in the tobacco budworm Heliothis virescens.	tobacco budworm,58,73,Organism/Species	Heliothis virescens,74,93,Organism/Species	"[{""token"": ""tobacco budworm"", ""start_span"": 58, ""end_span"": 73, ""type"": ""Organism/Species""}, {""token"": ""Heliothis virescens"", ""start_span"": 74, ""end_span"": 93, ""type"": ""Organism/Species""}]"	train
Furthermore, the Rapid - MAC - ELISA can be used for the diagnosis of dengue virus infections in resource - limited areas where dengue is endemic.	dengue virus,70,82,Organism/Species	dengue,128,134,Organism/Species	"[{""token"": ""dengue virus"", ""start_span"": 70, ""end_span"": 82, ""type"": ""Organism/Species""}, {""token"": ""dengue"", ""start_span"": 128, ""end_span"": 134, ""type"": ""Organism/Species""}]"	train
