Sentence	entity_1	entity_2	entity_3	entity_4	json	split
Table1Summary of the experimental set - up used for the processing of a lactate - rich medium to methaneMethane - yielding microbial communities processing lactate - rich medium to methaneM1AM1BThe seed methanogenic inoculumActivated sludge from a municipal waste treatment plant Warszawa Poudnie in Warsaw, Poland, sampled in the winteraMethane - yielding sludge from the 50 - L - UASB bioreactor processing acidic effluent from molasses fermentation [ 19] inoculated with activated sludge from a municipal waste treatment plant Warszawa Poudnie in Warsaw, Poland, sampled in the autumnaLactate - rich mediummodified M9 ( containing MgCl2 instead of MgSO4, without glucose) Sodium lactate 8. 26g / L, butyric acid 1. 06g / L, propionic acid 0. 97g / L, acetic acid 1. 54g / LSodium lactate 7g / L, sodium butyrate 1. 3g / L, propionic acid 0. 99g / L, acetic acid 1. 05g / L, yeast extract 0. 5g / LHydraulic retention time ( HRT), days77Culture history - Incubation at room temperature ( 2025C) for 26days after inoculation - 27th57th day of cultivationneutralized medium continuously supplied to the bioreactor - Since 58th day of cultivationnon - neutralized medium supplied to the bioreactorIncubation at room temperature ( 2025C) for 10days after inoculation.	Warsaw,300,306,place	Poland,308,314,place	Warsaw,550,556,place	Poland,558,564,place	"[{""token"": ""Warsaw"", ""start_span"": 300, ""end_span"": 306, ""type"": ""place""}, {""token"": ""Poland"", ""start_span"": 308, ""end_span"": 314, ""type"": ""place""}, {""token"": ""Warsaw"", ""start_span"": 550, ""end_span"": 556, ""type"": ""place""}, {""token"": ""Poland"", ""start_span"": 558, ""end_span"": 564, ""type"": ""place""}]"	train
The study site, the Joetsu Knoll, is a well - characterized location of methane seepage offshore the Joetsu City, Niigata Prefecture, Japan ( Figure 1; 3731. 1N, 13758. 0E, 985 mbsl).	Joetsu Knoll,20,32,place	Joetsu City,101,112,place	Niigata Prefecture,114,132,place	Japan,134,139,place	"[{""token"": ""Joetsu Knoll"", ""start_span"": 20, ""end_span"": 32, ""type"": ""place""}, {""token"": ""Joetsu City"", ""start_span"": 101, ""end_span"": 112, ""type"": ""place""}, {""token"": ""Niigata Prefecture"", ""start_span"": 114, ""end_span"": 132, ""type"": ""place""}, {""token"": ""Japan"", ""start_span"": 134, ""end_span"": 139, ""type"": ""place""}]"	train
The bioreactor was fed with anaerobic digester filtrate obtained from the belt filter press of a local wastewater treatment plant ( CVWRF, Salt Lake City, UT, USA).	CVWRF,132,137,place	Salt Lake City,139,153,place	UT,155,157,place	USA,159,162,place	"[{""token"": ""CVWRF"", ""start_span"": 132, ""end_span"": 137, ""type"": ""place""}, {""token"": ""Salt Lake City"", ""start_span"": 139, ""end_span"": 153, ""type"": ""place""}, {""token"": ""UT"", ""start_span"": 155, ""end_span"": 157, ""type"": ""place""}, {""token"": ""USA"", ""start_span"": 159, ""end_span"": 162, ""type"": ""place""}]"	train
1 a Maximum likelihood phylogeny of the 12 almost complete reconstructed genomes from Caspian, Aegean, Ionian Seas and MALASPINA datasets in the SAR202 cluster together with the single cell amplified genomes of the SAR202 cluster.	Caspian,86,93,place	Aegean,95,101,place	Ionian Seas,103,114,place	MALASPINA,119,128,place	"[{""token"": ""Caspian"", ""start_span"": 86, ""end_span"": 93, ""type"": ""place""}, {""token"": ""Aegean"", ""start_span"": 95, ""end_span"": 101, ""type"": ""place""}, {""token"": ""Ionian Seas"", ""start_span"": 103, ""end_span"": 114, ""type"": ""place""}, {""token"": ""MALASPINA"", ""start_span"": 119, ""end_span"": 128, ""type"": ""place""}]"	train
Seasonal and spatial patterns of microbial diversity along a trophic gradient in the interconnected lakes of the Osterseen Lake District, Bavaria The Osterseen Lake District in Bavaria consists of 19 small interconnected lakes that exhibit a pronounced trophic gradient from eutrophic to oligotrophic.	Osterseen Lake District,113,136,place	Bavaria,138,145,place	Osterseen Lake District,150,173,place	Bavaria,177,184,place	"[{""token"": ""Osterseen Lake District"", ""start_span"": 113, ""end_span"": 136, ""type"": ""place""}, {""token"": ""Bavaria"", ""start_span"": 138, ""end_span"": 145, ""type"": ""place""}, {""token"": ""Osterseen Lake District"", ""start_span"": 150, ""end_span"": 173, ""type"": ""place""}, {""token"": ""Bavaria"", ""start_span"": 177, ""end_span"": 184, ""type"": ""place""}]"	train
Cohort description and sample collection Hair samples derived from scalp and pubic areas were collected from adults residing in Maryland ( MD, n = 8) and California ( CA, n = 8).	Maryland,128,136,place	MD,139,141,place	California,154,164,place	CA,167,169,place	"[{""token"": ""Maryland"", ""start_span"": 128, ""end_span"": 136, ""type"": ""place""}, {""token"": ""MD"", ""start_span"": 139, ""end_span"": 141, ""type"": ""place""}, {""token"": ""California"", ""start_span"": 154, ""end_span"": 164, ""type"": ""place""}, {""token"": ""CA"", ""start_span"": 167, ""end_span"": 169, ""type"": ""place""}]"	train
Materials and Methods Field Sampling Sampling was conducted around the hyporheic zone of Spaulding Pond, Taylor Valley in the McMurdo Dry Valleys of Antarctica, during the austral summer of 2015.	Spaulding Pond,89,103,place	Taylor Valley,105,118,place	McMurdo Dry Valleys,126,145,place	Antarctica,149,159,place	"[{""token"": ""Spaulding Pond"", ""start_span"": 89, ""end_span"": 103, ""type"": ""place""}, {""token"": ""Taylor Valley"", ""start_span"": 105, ""end_span"": 118, ""type"": ""place""}, {""token"": ""McMurdo Dry Valleys"", ""start_span"": 126, ""end_span"": 145, ""type"": ""place""}, {""token"": ""Antarctica"", ""start_span"": 149, ""end_span"": 159, ""type"": ""place""}]"	train
We followed gut microbiome development from birth until age three in 222 infants in Northern Europe, where early - onset autoimmune diseases are common in Finland and Estonia but less prevalent in Russia.	Northern Europe,84,99,place	Finland,155,162,place	Estonia,167,174,place	Russia,197,203,place	"[{""token"": ""Northern Europe"", ""start_span"": 84, ""end_span"": 99, ""type"": ""place""}, {""token"": ""Finland"", ""start_span"": 155, ""end_span"": 162, ""type"": ""place""}, {""token"": ""Estonia"", ""start_span"": 167, ""end_span"": 174, ""type"": ""place""}, {""token"": ""Russia"", ""start_span"": 197, ""end_span"": 203, ""type"": ""place""}]"	train
The MALASPINA datasets were chosen because they had a high percentage of Chloroflexi 16S rRNA reads ( 911%) ( Supplementary TableS1), and also because they represented geographically distant locations ( South Atlantic, Indian Ocean and North Pacific).	MALASPINA,4,13,place	South Atlantic,203,217,place	Indian Ocean,219,231,place	North Pacific,236,249,place	"[{""token"": ""MALASPINA"", ""start_span"": 4, ""end_span"": 13, ""type"": ""place""}, {""token"": ""South Atlantic"", ""start_span"": 203, ""end_span"": 217, ""type"": ""place""}, {""token"": ""Indian Ocean"", ""start_span"": 219, ""end_span"": 231, ""type"": ""place""}, {""token"": ""North Pacific"", ""start_span"": 236, ""end_span"": 249, ""type"": ""place""}]"	train
While SAR202 were barely detectable in the photic zone and deep chlorophyll maximum ( DCM) datasets ( Western and Eastern Mediterranean, Caspian and Red Sea, HOTs and BATs), they comprised a substantial fraction of the microbial community in the datasets from the deep aphotic zones of eastern Mediterranean ( Aegean ca.	Mediterranean,122,135,place	Caspian,137,144,place	Mediterranean,294,307,place	Aegean,310,316,place	"[{""token"": ""Mediterranean"", ""start_span"": 122, ""end_span"": 135, ""type"": ""place""}, {""token"": ""Caspian"", ""start_span"": 137, ""end_span"": 144, ""type"": ""place""}, {""token"": ""Mediterranean"", ""start_span"": 294, ""end_span"": 307, ""type"": ""place""}, {""token"": ""Aegean"", ""start_span"": 310, ""end_span"": 316, ""type"": ""place""}]"	train
MATERIALS AND METHODS The SUPER HI - CAT expedition took place aboard the R / V Kilo Moana and transited from Oahu, HI, to California between 25August and 5September 2008.	HI,32,34,place	Oahu,110,114,place	HI,116,118,place	California,123,133,place	"[{""token"": ""HI"", ""start_span"": 32, ""end_span"": 34, ""type"": ""place""}, {""token"": ""Oahu"", ""start_span"": 110, ""end_span"": 114, ""type"": ""place""}, {""token"": ""HI"", ""start_span"": 116, ""end_span"": 118, ""type"": ""place""}, {""token"": ""California"", ""start_span"": 123, ""end_span"": 133, ""type"": ""place""}]"	train
Lakes Stechsee, Grbensee, Gartensee, and Ursee form part of the main chain and are characterized by a brownish water color due to wash out of humic substances from the peat.	Stechsee,6,14,place	Grbensee,16,24,place	Gartensee,26,35,place	Ursee,41,46,place	"[{""token"": ""Stechsee"", ""start_span"": 6, ""end_span"": 14, ""type"": ""place""}, {""token"": ""Grbensee"", ""start_span"": 16, ""end_span"": 24, ""type"": ""place""}, {""token"": ""Gartensee"", ""start_span"": 26, ""end_span"": 35, ""type"": ""place""}, {""token"": ""Ursee"", ""start_span"": 41, ""end_span"": 46, ""type"": ""place""}]"	train
Swine manure collected at an experimental station of the Food and Agricultural Research Institute ( IRTA, Girona, Spain) was continuously fed to the anode at a flow rate of 1. 5 L d - 1.	Food and Agricultural Research Institute,57,97,place	IRTA,100,104,place	Girona,106,112,place	Spain,114,119,place	"[{""token"": ""Food and Agricultural Research Institute"", ""start_span"": 57, ""end_span"": 97, ""type"": ""place""}, {""token"": ""IRTA"", ""start_span"": 100, ""end_span"": 104, ""type"": ""place""}, {""token"": ""Girona"", ""start_span"": 106, ""end_span"": 112, ""type"": ""place""}, {""token"": ""Spain"", ""start_span"": 114, ""end_span"": 119, ""type"": ""place""}]"	train
Forty - one patients ( aged 15 to 58years) were ultimately recruited from Dalian Municipal Central Hospital and the Second Affiliated Hospital of Dalian Medical University, Dalian, China, from May to September 2017.	Dalian,74,80,place	Dalian,146,152,place	Dalian,173,179,place	China,181,186,place	"[{""token"": ""Dalian"", ""start_span"": 74, ""end_span"": 80, ""type"": ""place""}, {""token"": ""Dalian"", ""start_span"": 146, ""end_span"": 152, ""type"": ""place""}, {""token"": ""Dalian"", ""start_span"": 173, ""end_span"": 179, ""type"": ""place""}, {""token"": ""China"", ""start_span"": 181, ""end_span"": 186, ""type"": ""place""}]"	train
AD sludge was collected from a secondary digester at the Pennsylvania State University Wastewater Treatment Plant ( University Park, PA, USA).	Pennsylvania,57,69,place	University Park,116,131,place	PA,133,135,place	USA,137,140,place	"[{""token"": ""Pennsylvania"", ""start_span"": 57, ""end_span"": 69, ""type"": ""place""}, {""token"": ""University Park"", ""start_span"": 116, ""end_span"": 131, ""type"": ""place""}, {""token"": ""PA"", ""start_span"": 133, ""end_span"": 135, ""type"": ""place""}, {""token"": ""USA"", ""start_span"": 137, ""end_span"": 140, ""type"": ""place""}]"	train
The beach locations referred to in this study are: Orange beach ( Cotton Bayou Beach area in Alabama, 30 16 ' 54 N, 87 41 ' 17 W), and St. George ( St. George Island, Florida, 29 41 ' 22 N, 84 46 ' 59 W).	Orange beach,51,63,place	Cotton Bayou Beach area,66,89,place	Alabama,93,100,place	Florida,167,174,place	"[{""token"": ""Orange beach"", ""start_span"": 51, ""end_span"": 63, ""type"": ""place""}, {""token"": ""Cotton Bayou Beach area"", ""start_span"": 66, ""end_span"": 89, ""type"": ""place""}, {""token"": ""Alabama"", ""start_span"": 93, ""end_span"": 100, ""type"": ""place""}, {""token"": ""Florida"", ""start_span"": 167, ""end_span"": 174, ""type"": ""place""}]"	train
Data source locationChicago, IL, USA: Montrose Beach ( 41580. 71N, 873813. 35W), 57th Street Beach ( 414725. 54N, 873441. 25W), and Calumet Beach ( 41438. 18N, 873132. 51W); Wilmette, IL, USA: Gillson Park ( 42445. 10N, 874059. 10W). Data accessibilityRaw data is available through NCBIs BioProject database, Accession: PRJNA294919 ( http: / / www. ncbi. nlm. nih. gov / bioproject / PRJNA294919).	Montrose Beach,38,52,place	57th Street Beach,81,98,place	Calumet Beach,132,145,place	Gillson Park,193,205,place	"[{""token"": ""Montrose Beach"", ""start_span"": 38, ""end_span"": 52, ""type"": ""place""}, {""token"": ""57th Street Beach"", ""start_span"": 81, ""end_span"": 98, ""type"": ""place""}, {""token"": ""Calumet Beach"", ""start_span"": 132, ""end_span"": 145, ""type"": ""place""}, {""token"": ""Gillson Park"", ""start_span"": 193, ""end_span"": 205, ""type"": ""place""}]"	train
