Sentence	entity_1	entity_2	entity_3	json	split
Sample depths were 30 m, 60 m, 130 m, 300 m, and 1, 000 m at station 2 and 30 m, 85 m, 100 m, 300 m, and 1, 000 m at station 6, which represented samples from the surface mixed layer, upper oxycline, OMZ core and lower oxycline at either station respectively.	station,61,68,place	station 6,117,126,place	station,238,245,place	"[{""token"": ""station"", ""start_span"": 61, ""end_span"": 68, ""type"": ""place""}, {""token"": ""station 6"", ""start_span"": 117, ""end_span"": 126, ""type"": ""place""}, {""token"": ""station"", ""start_span"": 238, ""end_span"": 245, ""type"": ""place""}]"	train
Briefly, with regards to women, all women were aged 1865 years and were recruited from Gugulethu, Cape Town, South Africa.	Gugulethu,87,96,place	Cape Town,98,107,place	South Africa,109,121,place	"[{""token"": ""Gugulethu"", ""start_span"": 87, ""end_span"": 96, ""type"": ""place""}, {""token"": ""Cape Town"", ""start_span"": 98, ""end_span"": 107, ""type"": ""place""}, {""token"": ""South Africa"", ""start_span"": 109, ""end_span"": 121, ""type"": ""place""}]"	train
Finally, water from the turbid lake FAS 3 and from the clear lake FAS 4 mixes in the lowest lake FAS 6.	FAS 3,36,41,place	FAS 4,66,71,place	FAS 6,97,102,place	"[{""token"": ""FAS 3"", ""start_span"": 36, ""end_span"": 41, ""type"": ""place""}, {""token"": ""FAS 4"", ""start_span"": 66, ""end_span"": 71, ""type"": ""place""}, {""token"": ""FAS 6"", ""start_span"": 97, ""end_span"": 102, ""type"": ""place""}]"	train
Samples were collected from alkaline, hypersaline Mono Lake, California, USA at five depths that captured the major redox zones of the lake during the onset of meromixis.	Mono Lake,50,59,place	California,61,71,place	USA,73,76,place	"[{""token"": ""Mono Lake"", ""start_span"": 50, ""end_span"": 59, ""type"": ""place""}, {""token"": ""California"", ""start_span"": 61, ""end_span"": 71, ""type"": ""place""}, {""token"": ""USA"", ""start_span"": 73, ""end_span"": 76, ""type"": ""place""}]"	train
Materials and methods Sample collection Eighty adult treefrogs ( Polypedates megacephalus) were collected from New Taipei City and Taichung City, Taiwan.	New Taipei City,111,126,place	Taichung City,131,144,place	Taiwan,146,152,place	"[{""token"": ""New Taipei City"", ""start_span"": 111, ""end_span"": 126, ""type"": ""place""}, {""token"": ""Taichung City"", ""start_span"": 131, ""end_span"": 144, ""type"": ""place""}, {""token"": ""Taiwan"", ""start_span"": 146, ""end_span"": 152, ""type"": ""place""}]"	train
( No specific permits or permissions were required for the water samples collected from the Chicago beaches; a permit was obtained for Gillson Park in accordance with the Wilmette Park District.)	Chicago,92,99,place	Gillson Park,135,147,place	Wilmette Park District,171,193,place	"[{""token"": ""Chicago"", ""start_span"": 92, ""end_span"": 99, ""type"": ""place""}, {""token"": ""Gillson Park"", ""start_span"": 135, ""end_span"": 147, ""type"": ""place""}, {""token"": ""Wilmette Park District"", ""start_span"": 171, ""end_span"": 193, ""type"": ""place""}]"	train
Samples and Reagents Four batches of Lisosan G ( LG1, LG2, LG3, LG4), a food supplement obtained from lysed fine bran and germ of organic wheat grains ( Triticum aestivum), were provided by Agrisan Srl Company, Larciano ( Pistoia, Italy).	Larciano,211,219,place	Pistoia,222,229,place	Italy,231,236,place	"[{""token"": ""Larciano"", ""start_span"": 211, ""end_span"": 219, ""type"": ""place""}, {""token"": ""Pistoia"", ""start_span"": 222, ""end_span"": 229, ""type"": ""place""}, {""token"": ""Italy"", ""start_span"": 231, ""end_span"": 236, ""type"": ""place""}]"	train
The two deep sea samples from the Mediterranean were collected in the Aegean Sea ( 600m, bottom depth 699m) and Ionian Sea ( 3500m, bottom depth 3633m) in October 2010.	Mediterranean,34,47,place	Aegean Sea,70,80,place	Ionian Sea,112,122,place	"[{""token"": ""Mediterranean"", ""start_span"": 34, ""end_span"": 47, ""type"": ""place""}, {""token"": ""Aegean Sea"", ""start_span"": 70, ""end_span"": 80, ""type"": ""place""}, {""token"": ""Ionian Sea"", ""start_span"": 112, ""end_span"": 122, ""type"": ""place""}]"	train
Materials and Methods Samples were taken in the Bering Sea, Chukchi Sea, on the Chukchi Shelf, and in the Beaufort Sea in September 2016.	Bering Sea,48,58,place	Chukchi Sea,60,71,place	Beaufort Sea,106,118,place	"[{""token"": ""Bering Sea"", ""start_span"": 48, ""end_span"": 58, ""type"": ""place""}, {""token"": ""Chukchi Sea"", ""start_span"": 60, ""end_span"": 71, ""type"": ""place""}, {""token"": ""Beaufort Sea"", ""start_span"": 106, ""end_span"": 118, ""type"": ""place""}]"	train
The reactor was originally inoculated with activated sludge obtained from the Nine Springs wastewater treatment plant in Madison, WI, which uses a variation of the University of Cape Town ( UCT) process designed to achieve biological P removal without nitrate removal ( 77) from municipal wastewater and operates with high aeration rates ( DO values ranging from 0. 8 to 4. 5mg / liter) ( 47).	Nine Springs,78,90,place	Madison,121,128,place	WI,130,132,place	"[{""token"": ""Nine Springs"", ""start_span"": 78, ""end_span"": 90, ""type"": ""place""}, {""token"": ""Madison"", ""start_span"": 121, ""end_span"": 128, ""type"": ""place""}, {""token"": ""WI"", ""start_span"": 130, ""end_span"": 132, ""type"": ""place""}]"	train
The present study only used DNA from stool samples collected at Baylor College of Medicine in Houston, TX, from volunteers who donated between one and three stool samples over the course of approximately 1year.	Baylor College of Medicine,64,90,place	Houston,94,101,place	TX,103,105,place	"[{""token"": ""Baylor College of Medicine"", ""start_span"": 64, ""end_span"": 90, ""type"": ""place""}, {""token"": ""Houston"", ""start_span"": 94, ""end_span"": 101, ""type"": ""place""}, {""token"": ""TX"", ""start_span"": 103, ""end_span"": 105, ""type"": ""place""}]"	train
Data and sample collection Healthy reproductive - aged women were recruited from two cohorts of participants in Phase - III clinical trials of HPV vaccines, a private Obstetrics and Gynecology practice, and through online and print advertisements placed in Vancouver, British Columbia, Canada.	Vancouver,257,266,place	British Columbia,268,284,place	Canada,286,292,place	"[{""token"": ""Vancouver"", ""start_span"": 257, ""end_span"": 266, ""type"": ""place""}, {""token"": ""British Columbia"", ""start_span"": 268, ""end_span"": 284, ""type"": ""place""}, {""token"": ""Canada"", ""start_span"": 286, ""end_span"": 292, ""type"": ""place""}]"	train
These data constituted a subset of known serpentinizing systems, including four continental environments: Cabeo de Vide Aquifer ( Tiago and Verssimo, 2013), The Cedars ( Suzuki et al., 2013), Voltri ophiolite ( Qumneur et al., 2015), Leka ophiolite ( Daae et al., 2013), and one submarine system: the famous Lost - City Hydrothermal Field ( Schrenk et al., 2004; Brazelton et al., 2006).	Cabeo de Vide,106,119,place	The Cedars,157,167,place	Lost - City Hydrothermal Field,308,338,place	"[{""token"": ""Cabeo de Vide"", ""start_span"": 106, ""end_span"": 119, ""type"": ""place""}, {""token"": ""The Cedars"", ""start_span"": 157, ""end_span"": 167, ""type"": ""place""}, {""token"": ""Lost - City Hydrothermal Field"", ""start_span"": 308, ""end_span"": 338, ""type"": ""place""}]"	train
Reproducibility of PCR and 454 sequencing In order to evaluate the reproducibility of the different replicates, we selected duplicated samples from different templates ( 8 DNA, 9 RNA) and different sampling sites ( 2 Barcelona, 7 Naples and 8 Oslo), in which one duplicates contain at least more than 100 metazoan reads ( n = 17).	Barcelona,217,226,place	Naples,230,236,place	Oslo,243,247,place	"[{""token"": ""Barcelona"", ""start_span"": 217, ""end_span"": 226, ""type"": ""place""}, {""token"": ""Naples"", ""start_span"": 230, ""end_span"": 236, ""type"": ""place""}, {""token"": ""Oslo"", ""start_span"": 243, ""end_span"": 247, ""type"": ""place""}]"	train
No specific permits or permissions were required for the water samples collected from the Chicago nearshore waters; a permit was obtained for Gillson Park in accordance with the Wilmette Park District.	Chicago,90,97,place	Gillson Park,142,154,place	Wilmette Park District,178,200,place	"[{""token"": ""Chicago"", ""start_span"": 90, ""end_span"": 97, ""type"": ""place""}, {""token"": ""Gillson Park"", ""start_span"": 142, ""end_span"": 154, ""type"": ""place""}, {""token"": ""Wilmette Park District"", ""start_span"": 178, ""end_span"": 200, ""type"": ""place""}]"	train
MATERIALS AND METHODS Soil samples were collected at 35 sites between June and July 2017, with the distance between sites ranging from 13 to 737km ( ~ 100, 000km2), in the Qaidam Basin, Qinghai Province, China ( Table A1 and Figure A1).	Qaidam Basin,172,184,place	Qinghai Province,186,202,place	China,204,209,place	"[{""token"": ""Qaidam Basin"", ""start_span"": 172, ""end_span"": 184, ""type"": ""place""}, {""token"": ""Qinghai Province"", ""start_span"": 186, ""end_span"": 202, ""type"": ""place""}, {""token"": ""China"", ""start_span"": 204, ""end_span"": 209, ""type"": ""place""}]"	train
Particularly Lake Grosser Ostersee, and to a lesser extent Lake Ameisensee and the Western and Eastern Lake Breitenauersee are characterized by very high CaCO3 concentrations, which results in biogenic CaCO3 precipitation in summer ( Gruenert and Raeder, 2014), leading to a distinct turquoise water color and low Secchi depths.	Lake Grosser Ostersee,13,34,place	Lake Ameisensee,59,74,place	Lake Breitenauersee,103,122,place	"[{""token"": ""Lake Grosser Ostersee"", ""start_span"": 13, ""end_span"": 34, ""type"": ""place""}, {""token"": ""Lake Ameisensee"", ""start_span"": 59, ""end_span"": 74, ""type"": ""place""}, {""token"": ""Lake Breitenauersee"", ""start_span"": 103, ""end_span"": 122, ""type"": ""place""}]"	train
This study was approved for human subject research by the University of Minnesota Institutional Review Board ( 1510S79446), and the Thailand - based portion of the study was additionally approved for human subject research by the Chiang Mai University Institutional Review Board ( 475 / 2015) and the Chiang Mai Public Health Office ( 0032. 002 / 9930).	Thailand,132,140,place	Chiang Mai,230,240,place	Chiang Mai,301,311,place	"[{""token"": ""Thailand"", ""start_span"": 132, ""end_span"": 140, ""type"": ""place""}, {""token"": ""Chiang Mai"", ""start_span"": 230, ""end_span"": 240, ""type"": ""place""}, {""token"": ""Chiang Mai"", ""start_span"": 301, ""end_span"": 311, ""type"": ""place""}]"	train
Methods Sample collection and preparation Fecal aliquots of the Hadza for this study came from the same original samples from Schnorr et al. 2, and represent a sub - cohort of 17 Hadza volunteers from the Dedauko and Sengele camps in Northern Tanzania ( age: 1565 years; mean, 34).	Dedauko,205,212,place	Sengele,217,224,place	Northern Tanzania,234,251,place	"[{""token"": ""Dedauko"", ""start_span"": 205, ""end_span"": 212, ""type"": ""place""}, {""token"": ""Sengele"", ""start_span"": 217, ""end_span"": 224, ""type"": ""place""}, {""token"": ""Northern Tanzania"", ""start_span"": 234, ""end_span"": 251, ""type"": ""place""}]"	train
Enrichment of Manganese Reducing Microbial Consortia From Activated Sludge To obtain a manganese oxide - reducing microbial consortium, returned activated sludge from a local waste water treatment plant ( Bonnybrook Wastewater Treatment Plant, Calgary, AB, Canada), was used as the inoculum.	Calgary,244,251,place	AB,253,255,place	Canada,257,263,place	"[{""token"": ""Calgary"", ""start_span"": 244, ""end_span"": 251, ""type"": ""place""}, {""token"": ""AB"", ""start_span"": 253, ""end_span"": 255, ""type"": ""place""}, {""token"": ""Canada"", ""start_span"": 257, ""end_span"": 263, ""type"": ""place""}]"	train
The founding animals of this M. musculus colony were collected from near Gainesville, Florida, USA.	Gainesville,73,84,place	Florida,86,93,place	USA,95,98,place	"[{""token"": ""Gainesville"", ""start_span"": 73, ""end_span"": 84, ""type"": ""place""}, {""token"": ""Florida"", ""start_span"": 86, ""end_span"": 93, ""type"": ""place""}, {""token"": ""USA"", ""start_span"": 95, ""end_span"": 98, ""type"": ""place""}]"	train
Approximately 200m of altitude lower, the two turbid lakes FAS 2 and FAS 3 are most of the year connected and therefore, we sampled only the deeper and larger FAS 3.	FAS 2,59,64,place	FAS 3,69,74,place	FAS 3,159,164,place	"[{""token"": ""FAS 2"", ""start_span"": 59, ""end_span"": 64, ""type"": ""place""}, {""token"": ""FAS 3"", ""start_span"": 69, ""end_span"": 74, ""type"": ""place""}, {""token"": ""FAS 3"", ""start_span"": 159, ""end_span"": 164, ""type"": ""place""}]"	train
Samples from the three lakes were collected in the morning ( 9: 00 a. m. to 12: 00p. m.) in March 2015 ( flood season) from Lake Baixio ( 03174. 69S, 600324. 419W, at a depth of 1m below the surface), Manacapuru Great Lake ( 03191. 38S, 604753W, at a depth of 2m below the surface), and Lake Preto ( 032121. 76S, 603736. 76W, at a depth of 1m below the surface).	Lake Baixio,124,135,place	Manacapuru Great Lake,201,222,place	Lake Preto,287,297,place	"[{""token"": ""Lake Baixio"", ""start_span"": 124, ""end_span"": 135, ""type"": ""place""}, {""token"": ""Manacapuru Great Lake"", ""start_span"": 201, ""end_span"": 222, ""type"": ""place""}, {""token"": ""Lake Preto"", ""start_span"": 287, ""end_span"": 297, ""type"": ""place""}]"	train
Materials and methods Biogas plant The investigated plant was a standard EUCO Titan 185 AIO ( Schmack Biogas GmbH, Schwandorf, Germany) consisting of a 30m2 Pasco 20 CR unit for feeding, a 400m3 plug - flow fermenter EUCO 400 TS withspool agitators and a 1000m3 agitated post digester COCCUS located in Bayreuth, Germany.	Germany,127,134,place	Bayreuth,303,311,place	Germany,313,320,place	"[{""token"": ""Germany"", ""start_span"": 127, ""end_span"": 134, ""type"": ""place""}, {""token"": ""Bayreuth"", ""start_span"": 303, ""end_span"": 311, ""type"": ""place""}, {""token"": ""Germany"", ""start_span"": 313, ""end_span"": 320, ""type"": ""place""}]"	train
All reactors were inoculated with crushed anaerobic granular sludge which was taken from a full - scale up - flow anaerobic sludge bed ( UASB) reactor, treating pulp and paper industry effluents ( Industriewater Eerbeek, Eerbeek, The Netherlands).	Eerbeek,212,219,place	Eerbeek,221,228,place	Netherlands,234,245,place	"[{""token"": ""Eerbeek"", ""start_span"": 212, ""end_span"": 219, ""type"": ""place""}, {""token"": ""Eerbeek"", ""start_span"": 221, ""end_span"": 228, ""type"": ""place""}, {""token"": ""Netherlands"", ""start_span"": 234, ""end_span"": 245, ""type"": ""place""}]"	train
Methods Sample description The coring station for ARA02B / 01A - GC ( i. e., Core GC1; 7337. 89N, 16630. 98W) was located at the Chukchi Sea continental shelf and carefully selected by both detailed bathymetric mapping and sub - bottom profiling ( Parasound).	ARA02B / 01A - GC,50,67,place	Core GC1,77,85,place	Chukchi Sea,129,140,place	"[{""token"": ""ARA02B / 01A - GC"", ""start_span"": 50, ""end_span"": 67, ""type"": ""place""}, {""token"": ""Core GC1"", ""start_span"": 77, ""end_span"": 85, ""type"": ""place""}, {""token"": ""Chukchi Sea"", ""start_span"": 129, ""end_span"": 140, ""type"": ""place""}]"	train
Materials and methods Sample collection In this study, Qige WWTP, Shaoxing WWTP and Shangyu WWTP were selected for microbial community analysis.	Qige,55,59,place	Shaoxing,66,74,place	Shangyu,84,91,place	"[{""token"": ""Qige"", ""start_span"": 55, ""end_span"": 59, ""type"": ""place""}, {""token"": ""Shaoxing"", ""start_span"": 66, ""end_span"": 74, ""type"": ""place""}, {""token"": ""Shangyu"", ""start_span"": 84, ""end_span"": 91, ""type"": ""place""}]"	train
